                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.66715,                 0.5604,                 1.2249,                0.92196,                0.90677,                0.93896,                0.79145,                0.77899,                0.55699,                 0.9763,             0.00042445,             0.00042445,             0.00042445
                     62,                0.66802,                0.56019,                  1.225,                0.90706,                0.92606,                0.93542,                0.78428,                0.76858,                0.53933,                0.97742,             0.00041094,             0.00041094,             0.00041094
                     63,                0.66456,                0.56495,                 1.2266,                 0.9046,                 0.9207,                0.93752,                0.79061,                0.76864,                0.54399,                0.97933,             0.00039757,             0.00039757,             0.00039757
                     64,                0.66633,                0.55652,                 1.2266,                0.90475,                0.91737,                0.93483,                0.79314,                 0.7465,                0.54958,                0.95383,             0.00038434,             0.00038434,             0.00038434
                     65,                0.65736,                0.55191,                 1.2231,                0.89988,                0.92869,                0.93426,                0.78648,                0.75992,                0.56228,                0.95951,             0.00037128,             0.00037128,             0.00037128
                     66,                0.65426,                0.54886,                 1.2167,                0.89779,                 0.9367,                0.93947,                0.79158,                0.77572,                0.56463,                0.99631,              0.0003584,              0.0003584,              0.0003584
                     67,                0.65326,                0.54558,                  1.217,                0.91279,                0.91841,                0.93875,                0.79223,                0.82342,                0.62379,                 1.0942,              0.0003457,              0.0003457,              0.0003457
                     68,                0.65215,                0.54318,                 1.2167,                0.90628,                0.92799,                0.93779,                0.79871,                0.75631,                0.58213,                0.96602,             0.00033321,             0.00033321,             0.00033321
                     69,                0.64644,                0.54066,                 1.2079,                0.90392,                0.92633,                0.93476,                0.78932,                0.76467,                0.58882,                0.98065,             0.00032093,             0.00032093,             0.00032093
                     70,                0.63969,                0.53641,                 1.2095,                0.90892,                 0.9244,                0.93609,                 0.7929,                0.74576,                0.55244,                0.95649,             0.00030888,             0.00030888,             0.00030888
                     71,                0.63918,                0.52929,                 1.2103,                0.90498,                0.93368,                0.93551,                0.79232,                0.74136,                0.55283,                 0.9542,             0.00029706,             0.00029706,             0.00029706
                     72,                0.64155,                0.52579,                 1.2115,                0.90573,                0.93317,                0.93482,                0.78684,                0.74286,                0.57759,                0.95654,              0.0002855,              0.0002855,              0.0002855
                     73,                0.63728,                0.52828,                 1.2037,                0.90672,                0.93585,                0.93648,                0.79321,                0.74558,                0.54904,                0.95723,             0.00027419,             0.00027419,             0.00027419
                     74,                0.62803,                0.51916,                  1.204,                0.90498,                0.93516,                0.93465,                0.79469,                0.73233,                0.53153,                 0.9448,             0.00026316,             0.00026316,             0.00026316
                     75,                0.62422,                 0.5101,                 1.1953,                0.90886,                0.93433,                0.93812,                 0.7954,                0.74038,                0.53757,                 0.9553,             0.00025241,             0.00025241,             0.00025241
                     76,                0.63349,                0.52284,                 1.2028,                0.91094,                0.93103,                 0.9406,                  0.794,                0.75022,                0.54456,                0.96414,             0.00024195,             0.00024195,             0.00024195
                     77,                0.61986,                0.51246,                 1.1945,                0.90939,                0.92342,                0.94177,                0.79732,                0.75488,                0.55788,                0.96925,              0.0002318,              0.0002318,              0.0002318
                     78,                0.61738,                0.50835,                 1.1938,                0.89515,                 0.9367,                0.93846,                0.79862,                0.75455,                 0.5606,                0.96761,             0.00022196,             0.00022196,             0.00022196
                     79,                0.61235,                0.50632,                 1.1869,                0.90733,                0.93171,                0.94213,                0.80083,                0.73422,                0.53645,                0.94282,             0.00021245,             0.00021245,             0.00021245
                     80,                0.61879,                0.50493,                 1.1937,                0.90596,                0.92626,                0.94049,                0.80326,                0.75503,                0.56019,                0.96703,             0.00020327,             0.00020327,             0.00020327
                     81,                0.60599,                0.49668,                 1.1856,                0.90981,                0.92948,                0.94013,                0.80258,                0.74814,                0.54312,                0.96224,             0.00019443,             0.00019443,             0.00019443
                     82,                0.61467,                0.51298,                 1.1969,                0.90443,                0.92953,                0.94123,                 0.7988,                0.75728,                0.55931,                0.96962,             0.00018594,             0.00018594,             0.00018594
                     83,                0.61585,                 0.5061,                 1.1921,                0.90161,                0.93375,                0.93976,                0.80418,                0.73565,                0.56479,                0.95452,             0.00017781,             0.00017781,             0.00017781
                     84,                0.60675,                0.50444,                 1.1886,                0.90819,                0.92778,                0.94145,                 0.8047,                 0.7484,                0.57852,                0.97395,             0.00017005,             0.00017005,             0.00017005
                     85,                0.60512,                0.49467,                 1.1848,                0.89803,                0.93746,                0.94102,                0.79886,                0.75851,                0.59118,                0.98036,             0.00016267,             0.00016267,             0.00016267
                     86,                0.60077,                0.49769,                 1.1826,                0.89731,                 0.9355,                 0.9408,                 0.8058,                0.74512,                0.55255,                0.96212,             0.00015566,             0.00015566,             0.00015566
                     87,                0.60228,                0.49021,                 1.1774,                0.89659,                0.92838,                0.93804,                0.80246,                 0.7404,                0.56388,                0.95674,             0.00014905,             0.00014905,             0.00014905
                     88,                0.61002,                0.49617,                 1.1825,                0.89697,                0.93612,                0.93771,                  0.801,                0.75219,                0.56991,                0.97053,             0.00014283,             0.00014283,             0.00014283
                     89,                0.59601,                0.48407,                 1.1768,                0.89982,                0.93368,                0.93992,                0.80211,                0.73334,                0.53697,                0.94441,             0.00013701,             0.00013701,             0.00013701
                     90,                0.59897,                0.48948,                 1.1822,                0.90487,                0.92946,                0.93888,                0.80526,                0.73086,                0.54426,                0.94192,              0.0001316,              0.0001316,              0.0001316
                     91,                0.56416,                0.36075,                 1.1588,                0.90806,                0.92098,                0.93806,                0.79844,                0.74401,                0.55045,                0.95121,              0.0001266,              0.0001266,              0.0001266
                     92,                0.55355,                0.34201,                 1.1552,                0.90673,                0.92526,                0.93862,                0.80646,                0.75555,                0.58783,                0.96482,             0.00012202,             0.00012202,             0.00012202
                     93,                 0.5555,                0.33737,                 1.1519,                0.90616,                0.92681,                0.93893,                0.80597,                0.73307,                0.56015,                0.93971,             0.00011787,             0.00011787,             0.00011787
                     94,                0.54231,                0.32893,                 1.1463,                0.91047,                0.92744,                0.93936,                0.80309,                0.73145,                0.54957,                0.94037,             0.00011414,             0.00011414,             0.00011414
                     95,                0.54485,                0.32737,                 1.1469,                0.92393,                0.92066,                0.93956,                0.80264,                0.72875,                0.54998,                0.93566,             0.00011084,             0.00011084,             0.00011084
                     96,                0.53884,                0.32299,                 1.1377,                0.92192,                0.91639,                0.94093,                0.80337,                0.71674,                0.51652,                0.91881,             0.00010797,             0.00010797,             0.00010797
                     97,                0.53423,                 0.3239,                 1.1367,                0.92193,                 0.9202,                0.94119,                 0.8017,                0.72052,                0.52404,                0.91936,             0.00010554,             0.00010554,             0.00010554
                     98,                0.53998,                0.32144,                 1.1417,                0.89881,                0.93457,                 0.9408,                0.80618,                0.72377,                0.51898,                 0.9217,             0.00010355,             0.00010355,             0.00010355
                     99,                0.53353,                0.32138,                 1.1304,                0.91074,                0.93267,                0.94173,                0.80509,                0.74369,                 0.5297,                0.94434,               0.000102,               0.000102,               0.000102
                    100,                0.52642,                0.31427,                 1.1276,                0.89872,                0.93481,                0.94175,                0.79942,                0.73785,                0.53166,                0.94753,             0.00010089,             0.00010089,             0.00010089
